2026-03-27|pSEO設計|Byword pSEO 2.0アーキテクチャ採用（JSON schema + renderer分離）|組み合わせ爆発で24GP×231ペア=年間5500+ページ自動生成可能。AIテキスト生成ではなくデータ駆動なのでGoogle HCU耐性高い|スキーマ変更時は全JSON再生成が必要
2026-03-27|H2Hエンジン|CSVからの読み込み（FastF1直接ではなく）|既存export済みCSVを使うことで実行速度が大幅向上（API不要、キャッシュ不要）|export_race_data未実行のGPでは使えない→先にexportが必要
2026-03-27|フロントエンド|Astro選択（Next.jsではなく）|静的コンテンツ100%のためAstroが最適。ビルド速度も速い|画像base64埋め込みでサイズ68MB→外部ファイル参照に要切替
2026-03-27|正規化手法|フィールド中央値比率%をクロスGP比較に採用|サーキット差を除去しつつ相対順位変動を直感的に見せられる|絶対値に意味はない（99%と101%の差がサーキットごとに異なる）
2026-03-27|Python環境|/usr/bin/python3を使用（pandas/matplotlib入り）|/opt/homebrew/python3にはpandasなし。pip installはhookで禁止|環境依存のため別マシンでは要確認
2026-03-27|画像外部化|base64埋め込み→PNG静的ファイル参照に切替|HTML 68MB→624KB（99%削減）。CDNキャッシュ可能、ページ読み込み高速化|copy-charts.mjsをビルド前に実行する必要あり（package.jsonのbuildスクリプトに組み込み済）
2026-03-27|exportスクリプト|汎用版export_race_data.pyを作成|CLI引数でYEAR/GP/ROUNDを受け取り任意のGPに対応。R01固有のREADME内容もパラメータ化|gp_weekend.dbがないGPではFPデータはスキップされる
2026-03-28|チャートライブラリ|Apache ECharts採用（Chart.js/Plotly却下）|tree-shaking~200KB、ダークテーマ一行、ボックスプロット標準対応、Canvas/SVG両対応。Chart.jsはboxplotプラグイン必要、Plotlyは4.7MBで論外|echarts/coreからtree-shakingインポート必須。define:varsはモジュールscriptで使えない→script type=application/jsonで受け渡し
2026-03-28|ページ分割|1ペア=5ページ（hub/pace/sectors/speed/stints）|pSEOの原則=1ページ1検索意図。ページ数53→451で検索面積8.5倍。各ページにチャートガイド+自動インサイト|ページ間の回遊導線（SubNavコンポーネント）が重要
2026-03-28|per_lapデータ|analysis.jsonにper_lap配列追加（3KB→33KB）|EChartsクライアント描画に必要。既存summary statsはそのまま維持|全ペア再生成が必要（--top10で実行済）
2026-03-28|PNG生成|デフォルトOFF（--pngフラグでオプション化）|EChartsで完結するためmatplotlib不要に。ビルド時間短縮|旧PNGは残存しているがサイトからは参照されない
2026-03-28|Python環境|fastf1はuv run経由で実行|pip installがhook禁止。uv run --with fastf1 --with pyarrow pythonで動作確認済|h2h_engine.pyはfastf1不要（CSV読み込みのみ）、export_race_data.pyのみfastf1必要
2026-03-28|カラーシステム|F1公式デザイントークンに移行|formula1.comのCSSから抽出。--bg:#15151e, --bg-card:#1c1c25, --accent:#e10600(F1Red), --text:#ffffff, --border:#303037|echarts-theme.ts+全ページのハードコード色も同時更新。チームカラー(TEAM_COLORS)は変更なし
2026-03-28|比較UI方針|アイコン(顔)の大小+透明度で勝敗を表現|文章を読まなくても直感的にわかるデザイン。バーチャートやテーブルより「前注意的処理」で速い|差の大きさ(magnitude)は補助テキストで補完する2層構造
2026-03-28|ドライバー画像|F1公式CDN(media.formula1.com)のCloudinary URLを一時利用|c_thumb,g_face,w_440,h_440で顔フォーカスクロップ。開発用・デプロイ時は自前アセットに置き換え要|DRIVER_HEADSHOTSマッピングをdata.tsに定義
2026-03-28|UI改善手法|Generator+Evaluatorハーネス（GAN風）採用|Anthropicブログのパターン。自己評価バイアスを排除し5軸の具体的基準で反復改善。sectors/speed/stintsはR1 FAILからR2でPASS|スキルはプロジェクトローカル(.claude/skills/)に配置。グローバルにF1固有スキルを置かない
2026-03-28|Evaluator基準|5軸: Visual Consistency/Hub-Page Parity/Chart Quality/Data Integrity/Mobile|加重スコア>=2.5でPASS、軸0=自動FAIL。主な減点パターン: DataZoom欠落、themeBase未抽出、json-ld欠落、face-dot背景色不一致|基準は.claude/skills/f1-ui-evaluate/SKILL.mdに定義
2026-03-31|pipeline|pipeline.sh作成（export+H2H+build統合）|R04以降の手動2段階実行を排除、ワンコマンド化|--forceで再生成、デフォルトはスキップ（冪等）
2026-04-05|pSEO Phase0|TYPE-B動的ルート[pair]/career-arc.astro採用|getStaticPathsでlistDriverPairs()から自動展開、JSON差し替えだけで新ペア追加可能|data/drivers/pairs/配下にディレクトリ+career_arc.json作成すればビルド時自動生成
2026-04-05|pSEO Phase1|30ドライバー×435ペア×4種JSON自動生成(driver_compare_generator.py)|歴代比較ページ量産で検索面積拡大、マスター更新だけで1740ファイル再生成可能|数値は近似値、Jolpica-F1で後続補正必要
2026-04-05|スラッグ正規化|ペアdirを辞書順(ham-vs-msc等)に統一|VER起点の逆順問題回避、URL予測可能|既存3ディレクトリ(ver-vs-ham等)は再生成で上書き
